Serial,Name,Type,Operating System,Status,Service Date
59,Acer Chromebox,Computer,Chrome OS,Active,19-Oct-2029
60,Asus Chromebox,Computer,Chrome OS,Active,30-Nov-2029
61,Mac Cube,Computer,MAC OS,Active,15-Dec-2029
62,Dell XPS 13,Computer,Windows 10,Active,12-Jan-2030
63,HP Stream,Computer,Windows 11,Active,03-Feb-2030
64,Lenovo M Series,Computer,Linux,Active,25-Mar-2030
65,Acer Extensa,Computer,Windows 11,Active,07-Apr-2030
66,Asus ROG Flow,Computer,Windows 10,Active,20-May-2030
67,MacBook Plus,Computer,MAC OS,Active,14-Jun-2030
68,Dell XPS 15,Computer,Windows 10,Active,05-Jul-2030
69,HP Pavilion Gaming,Computer,Windows 11,Active,01-Aug-2030
70,Lenovo V Series,Computer,Linux,Active,18-Sep-2030
71,Acer Helios,Computer,Windows 11,Active,27-Oct-2030
72,Asus Zephyrus,Computer,Windows 10,Active,11-Nov-2030
73,Mac Studio M1,Computer,MAC OS,Active,21-Dec-2030
74,Surface Laptop Studio,Computer,Windows 11,Active,30-Jan-2031
75,Surface Book 3,Computer,Windows 10,Active,17-Feb-2031
76,Dell OptiPlex,Computer,Linux,Active,08-Mar-2031
77,HP Mini,Computer,Windows 11,Active,25-Apr-2031
78,Lenovo Tiny,Computer,Linux,Active,15-May-2031
79,Acer TravelMate,Computer,Windows 10,Active,03-Jun-2031
80,Asus VivoStick,Computer,Windows 11,Active,22-Jul-2031
81,Mac Pro Tower,Computer,MAC OS,Active,13-Aug-2031
82,Dell Aurora,Computer,Windows 10,Active,29-Sep-2031
83,HP Chromebook 14,Computer,Chrome OS,Active,19-Oct-2031
84,Lenovo Chromebook Duet,Computer,Chrome OS,Active,07-Nov-2031
85,Acer C720,Computer,Chrome OS,Active,28-Dec-2031
86,Asus C300,Computer,Chrome OS,Active,15-Jan-2032
87,MacBook Air Retina,Computer,MAC OS,Active,06-Feb-2032
